Date,Open,High,Low,Close,Volume
2020-07-15,375.0,393.75,280.6499938964844,291.8999938964844,2673433
2020-07-16,285.1499938964844,306.0,285.0,296.25,413540
2020-07-17,300.0,324.0,297.75,319.5,330567
2020-07-20,317.54998779296875,324.1499938964844,305.25,314.8500061035156,183393
2020-07-21,315.1499938964844,318.6000061035156,301.5,313.5,357027
2020-07-22,318.0,333.29998779296875,311.3999938964844,329.70001220703125,148727
2020-07-23,332.70001220703125,336.0,304.5,315.45001220703125,128420
2020-07-24,305.1000061035156,311.25,281.25,296.70001220703125,300640
2020-07-27,298.5,307.04998779296875,298.5,301.5,59060
2020-07-28,300.29998779296875,307.04998779296875,283.20001220703125,285.75,145140
2020-07-29,284.1000061035156,286.875,258.6000061035156,262.6499938964844,279093
2020-07-30,258.0,271.3500061035156,258.0,270.0,85213
2020-07-31,267.45001220703125,273.75,265.95001220703125,266.25,48353
2020-08-03,267.29998779296875,277.2749938964844,257.70001220703125,274.3500061035156,61027
2020-08-04,272.1000061035156,277.5,266.25,267.75,69933
2020-08-05,270.0,272.8500061035156,259.79998779296875,261.75,73567
2020-08-06,262.5,263.8500061035156,252.3000030517578,254.5500030517578,74167
2020-08-07,253.5,261.8999938964844,246.0,258.75,56493
2020-08-10,260.25,265.79998779296875,252.75,262.20001220703125,81987
2020-08-11,265.5,267.4049987792969,230.6999969482422,232.0500030517578,181200
2020-08-12,235.9499969482422,240.0,228.47999572753906,237.60000610351562,70640
2020-08-13,238.9499969482422,239.9250030517578,227.10000610351562,235.64999389648438,67360
2020-08-14,236.25,253.6199951171875,235.64999389648438,252.3000030517578,115967
2020-08-17,256.5,289.04998779296875,256.5,287.8500061035156,127807
2020-08-18,291.0,292.5,271.5,285.45001220703125,59347
2020-08-19,286.3500061035156,291.45001220703125,280.2149963378906,285.29998779296875,65267
2020-08-20,270.1499938964844,273.6000061035156,249.22500610351562,255.4499969482422,187913
2020-08-21,255.0,264.1499938964844,237.89999389648438,239.5500030517578,102253
2020-08-24,240.75,241.60499572753906,220.2899932861328,232.64999389648438,141193
2020-08-25,232.8000030517578,232.8000030517578,213.89999389648438,214.5,127027
2020-08-26,217.35000610351562,218.6999969482422,208.1999969482422,209.39999389648438,127947
2020-08-27,209.5500030517578,209.7449951171875,193.64999389648438,204.0,189287
2020-08-28,202.8000030517578,207.0,197.39999389648438,201.4499969482422,131947
2020-08-31,201.89999389648438,213.14999389648438,200.85000610351562,208.64999389648438,131333
2020-09-01,208.8000030517578,210.75,196.8000030517578,205.0500030517578,88593
2020-09-02,204.60000610351562,215.39999389648438,202.5,214.5,99580
2020-09-03,214.5,217.1999969482422,200.25,207.8249969482422,103340
2020-09-04,206.6999969482422,207.89999389648438,199.0500030517578,200.85000610351562,59900
2020-09-08,199.1999969482422,201.0,191.25,196.0500030517578,74267
2020-09-09,197.39999389648438,201.4499969482422,194.02499389648438,194.25,30487
2020-09-10,205.0500030517578,205.0500030517578,199.1999969482422,202.5,52900
2020-09-11,202.1999969482422,205.1999969482422,191.5500030517578,191.5500030517578,46147
